Symbol,Trade,Date,Price,Ex. date,Ex. Price,% chg,Profit,% Profit,Shares,Position value,Cum. Profit,# bars,Profit/bar,MAE,MFE,Scale In/Out
MELI,Long,2020-10-01,1107.96,2020-10-26,1255.385,13.31%,2358.80,13.31%,16,17727.36,6017.08,18,131.04,-3.99%,24.42%,0/0
PRPL,Long,2020-10-01,25.6,2020-10-22,30.45746,18.97%,77.72,18.97%,16,409.60,3876.31,16,4.86,-3.78%,30.31%,0/0
W,Long,2020-10-01,307.57,2020-10-06,298.3429,-3.00%,-147.63,-3.00%,16,4921.12,-1701.12,4,-36.91,-4.08%,5.41%,0/0
HZO,Long,2020-10-01,26.53,2020-11-09,30.51083,15.01%,63.69,15.01%,16,424.48,14168.01,28,2.27,-3.73%,27.40%,0/0
EPAM,Long,2020-10-01,332.84,2020-10-19,349.0561,4.87%,259.46,4.87%,16,5325.44,-1107.36,13,19.96,-2.45%,6.78%,0/0
APPS,Long,2020-10-01,34.27,2020-10-19,39.35072,14.83%,81.29,14.83%,16,548.32,-1366.82,13,6.25,-3.15%,23.61%,0/0
ETSY,Long,2020-10-01,125.8,2020-10-20,148.5168,18.06%,363.47,18.06%,16,2012.80,-491.77,14,25.96,-2.03%,23.12%,0/0
CSTL,Long,2020-10-02,52.35,2020-10-16,50.7795,-3.00%,-25.13,-3.00%,16,837.60,-1550.37,11,-2.28,-3.38%,5.65%,0/0
IMUX,Long,2020-10-02,19.46,2020-10-05,18.8762,-3.00%,-9.34,-3.00%,16,311.36,-1605.27,2,-4.67,-3.65%,5.75%,0/0
FND,Long,2020-10-05,76.74,2020-10-06,74.4378,-3.00%,-36.84,-3.00%,16,1227.84,-1737.96,2,-18.42,-3.75%,0.44%,0/0
MCRB,Long,2020-10-05,29.56,2020-10-06,28.6732,-3.00%,-14.19,-3.00%,16,472.96,-1752.15,2,-7.09,-6.36%,1.49%,0/0
CSSE,Long,2020-10-05,15.23,2020-10-09,14.9671,-1.73%,-4.21,-1.73%,16,243.68,-1766.63,5,-0.84,-4.20%,12.61%,0/0
EPAM,Long,2020-10-06,335.42,2020-10-19,349.0561,4.07%,218.18,4.07%,16,5366.72,-889.19,10,21.82,-1.61%,5.96%,0/0
GOGO,Long,2020-10-06,10.65,2020-10-07,10.3305,-3.00%,-5.11,-3.00%,16,170.40,-1757.26,2,-2.56,-6.95%,0.00%,0/0
INSP,Long,2020-10-06,132.79,2020-10-09,128.8063,-3.00%,-63.74,-3.00%,16,2124.64,-1830.37,4,-15.93,-3.58%,1.81%,0/0
SE,Long,2020-10-06,162.15,2020-10-30,157.2855,-3.00%,-77.83,-3.00%,16,2594.40,5716.93,19,-4.10,-3.00%,9.10%,0/0
IVA,Long,2020-10-06,12.525,2020-10-28,11.82,-5.63%,-11.28,-5.63%,16,200.40,5814.55,17,-0.66,-5.63%,18.96%,0/0
PTGX,Long,2020-10-06,21.41,2020-10-15,20.7677,-3.00%,-10.28,-3.00%,16,342.56,-1425.47,8,-1.28,-3.64%,6.48%,0/0
CRM,Long,2020-10-06,255.51,2020-10-22,249.6683,-2.29%,-93.47,-2.29%,16,4088.16,3782.84,13,-7.19,-2.55%,5.73%,0/0
CSSE,Long,2020-10-07,15.43,2020-10-09,14.9671,-3.00%,-7.41,-3.00%,16,246.88,-1837.77,3,-2.47,-3.05%,11.15%,0/0
BNR,Long,2020-10-07,25.6,2020-11-02,30.13128,17.70%,72.50,17.70%,16,409.60,5668.18,19,3.82,-1.80%,22.95%,0/0
OESX,Long,2020-10-07,8,2020-10-19,7.76,-3.00%,-3.84,-3.00%,16,128.00,-1009.20,9,-0.43,-4.37%,16.25%,0/0
